Algorithm,Suite,size_label,Depth,size_area,runs,ok_runs,timeout_runs,error_runs,skipped_runs,solved_rate,mean_time_ms,median_time_ms,p95_time_ms,mean_moves,median_moves,mean_mem_bytes,median_mem_bytes,ok_rate,timeout_rate,error_rate,skipped_rate
astar,4x4-depth-10,4x4,10,16,15,0,0,0,0,1.0,0.023653333333333335,0.024,0.028799999999999992,10.0,10.0,12229.866666666667,12464.0,0.0,0.0,0.0,0.0
bfs,4x4-depth-10,4x4,10,16,15,0,0,0,0,1.0,2.5203466666666667,2.5528,3.0640199999999997,10.0,10.0,1783096.5333333334,1822064.0,0.0,0.0,0.0,0.0
idabackjump,4x4-depth-10,4x4,10,16,15,0,0,0,0,1.0,0.013673333333333334,0.0137,0.01662,10.0,10.0,10435.2,11016.0,0.0,0.0,0.0,0.0
idastar,4x4-depth-10,4x4,10,16,15,0,0,0,0,1.0,0.007606666666666667,0.0078,0.009819999999999999,10.0,10.0,4270.933333333333,4216.0,0.0,0.0,0.0,0.0
astar,4x4-depth-20,4x4,20,16,15,0,0,0,0,1.0,0.094,0.1088,0.13002999999999998,20.0,20.0,65680.0,57320.0,0.0,0.0,0.0,0.0
bfs,4x4-depth-20,4x4,20,16,15,0,0,0,0,1.0,5496.985213333333,5923.1382,7303.89372,20.0,20.0,2097261514.6666667,2381855240.0,0.0,0.0,0.0,0.0
idabackjump,4x4-depth-20,4x4,20,16,15,0,0,0,0,1.0,0.05534666666666667,0.0553,0.0676,20.0,20.0,41408.0,42160.0,0.0,0.0,0.0,0.0
idastar,4x4-depth-20,4x4,20,16,15,0,0,0,0,1.0,0.02838,0.0253,0.0389,20.0,20.0,13490.666666666666,12952.0,0.0,0.0,0.0,0.0
astar,4x4-depth-30,4x4,30,16,10,0,0,0,0,1.0,0.36147999999999997,0.35335,0.4869649999999999,30.0,30.0,320712.0,320712.0,0.0,0.0,0.0,0.0
bfs,4x4-depth-30,4x4,30,16,11,0,0,0,0,0.0,54547.43273636363,0.0,300010.88005,,,3529386354.181818,0.0,0.0,0.0,0.0,0.0
idabackjump,4x4-depth-30,4x4,30,16,10,0,0,0,0,1.0,0.24860000000000002,0.253,0.346215,30.0,30.0,176736.0,176736.0,0.0,0.0,0.0,0.0
idastar,4x4-depth-30,4x4,30,16,10,0,0,0,0,1.0,0.12719,0.12625,0.16938,30.0,30.0,51400.0,51400.0,0.0,0.0,0.0,0.0
astar,4x4-depth-40,4x4,40,16,9,0,0,0,0,1.0,33.24238888888888,44.0282,53.015420000000006,40.0,40.0,20776883.555555556,25272672.0,0.0,0.0,0.0,0.0
bfs,4x4-depth-40,4x4,40,16,9,0,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
idabackjump,4x4-depth-40,4x4,40,16,9,0,0,0,0,1.0,43.97837777777778,59.4851,72.32384,40.0,40.0,29782152.0,41368088.0,0.0,0.0,0.0,0.0
idastar,4x4-depth-40,4x4,40,16,9,0,0,0,0,1.0,19.377955555555555,12.8752,45.58416,40.0,40.0,7155637.333333333,4809560.0,0.0,0.0,0.0,0.0
astar,4x4-depth-50,4x4,50,16,6,0,0,0,0,1.0,8742.386166666667,5487.22875,19862.0754,50.0,50.0,2539705908.0,1561051576.0,0.0,0.0,0.0,0.0
bfs,4x4-depth-50,4x4,50,16,6,0,0,0,0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0
idabackjump,4x4-depth-50,4x4,50,16,6,0,0,0,0,1.0,11355.895416666666,9771.64935,22368.884299999998,50.0,50.0,8032162754.666667,6873709264.0,0.0,0.0,0.0,0.0
idastar,4x4-depth-50,4x4,50,16,6,0,0,0,0,1.0,3886.1229000000003,5245.33305,5412.8778,50.0,50.0,1462918536.0,1978864224.0,0.0,0.0,0.0,0.0
